Characteristic,"Overall (N=7,104)","No barrier (n=5,920)","Any barrier (n=1,184)"
Age 65 years or older,"4,763 (59.0)","4,237 (64.0)",526 (35.9)
Age 18–64 years,"2,341 (41.0)","1,683 (36.0)",658 (64.1)
Male,"3,269 (48.5)","2,777 (49.7)",492 (43.3)
Female,"3,835 (51.5)","3,143 (50.3)",692 (56.7)
Income ≥400% FPL,"1,681.2 (24.2)","1,559.9 (27.0)",121.3 (11.0)
Income 200–399% FPL,"2,133.3 (31.0)","1,786.9 (31.0)",346.4 (31.2)
Income 100–199% FPL,"1,986.9 (27.5)","1,549.6 (25.6)",437.3 (36.0)
Income <100% FPL,"1,302.6 (17.4)","1,023.6 (16.4)",279.0 (21.8)
"Private, with or without public coverage","2,888 (40.3)","2,465 (40.9)",423 (37.2)
Public without private,"3,871 (53.6)","3,263 (54.9)",608 (47.4)
Military only,109 (1.6),92 (1.6),17 (1.7)
Uninsured,207 (4.0),80 (2.0),127 (13.2)
Insurance unknown,29 (0.5),20 (0.5),9 (0.6)
Without disability,"4,384 (61.2)","3,742 (62.3)",642 (56.3)
With disability,"2,720 (38.8)","2,178 (37.7)",542 (43.7)
Good or better self-rated health,"3,607 (48.0)","3,201 (51.6)",406 (31.7)
Fair or poor self-rated health,"3,486 (51.9)","2,712 (48.3)",774 (68.1)
Self-rated health unknown,11 (0.1),7 (0.1),4 (0.2)
Never smoked,"3,196 (46.0)","2,710 (46.6)",486 (43.5)
Former smoker,"2,592 (34.0)","2,240 (35.5)",352 (27.2)
Current smoker,"1,132 (16.8)",821 (14.7),311 (26.3)
Smoking unknown,184 (3.2),149 (3.2),35 (3.0)
