Characteristic,"Model 1, PR (95% CI)","Model 2, PR (95% CI)","Model 3, PR (95% CI)"
Age 18–64 vs ≥65 years,2.51 (2.20–2.87),2.27 (1.98–2.61),2.18 (1.90–2.50)
Female vs male,1.30 (1.14–1.47),1.25 (1.10–1.42),1.27 (1.12–1.43)
Some college/associate vs bachelor's or higher,—,0.94 (0.79–1.12),0.89 (0.75–1.06)
High school/GED vs bachelor's or higher,—,0.81 (0.67–0.97),0.75 (0.62–0.89)
Less than high school vs bachelor's or higher,—,0.91 (0.73–1.13),0.80 (0.64–0.99)
Income 200–399% vs ≥400% FPL,—,2.29 (1.81–2.89),2.07 (1.65–2.61)
Income 100–199% vs ≥400% FPL,—,2.95 (2.30–3.78),2.50 (1.94–3.21)
Income <100% vs ≥400% FPL,—,2.43 (1.86–3.19),2.00 (1.52–2.63)
Public without private vs private,—,0.79 (0.68–0.91),0.72 (0.63–0.83)
Military only vs private,—,0.83 (0.53–1.30),0.81 (0.52–1.28)
Uninsured vs private,—,1.76 (1.46–2.12),1.79 (1.49–2.16)
Hypertension vs none,—,—,0.99 (0.86–1.14)
Diabetes vs none,—,—,1.12 (0.97–1.30)
Coronary heart disease vs none,—,—,1.37 (1.18–1.58)
Former vs never smoking,—,—,0.98 (0.85–1.14)
Current vs never smoking,—,—,1.21 (1.04–1.42)
Fair/poor vs good or better health,—,—,1.58 (1.37–1.82)
Disability vs none,—,—,1.19 (1.05–1.35)
