Contrast,aPR (95% CI),P value
Year 2020 vs 2019,0.89 (0.69–1.14),0.351
Year 2021 vs 2019,0.96 (0.78–1.19),0.702
Year 2022 vs 2019,0.84 (0.67–1.04),0.112
Year 2023 vs 2019,0.85 (0.69–1.05),0.140
Year 2024 vs 2019,1.06 (0.87–1.29),0.569
Year 2025 vs 2019,0.89 (0.71–1.10),0.274
Female vs male,1.27 (1.12–1.43),<0.001
Non-Hispanic White only vs Hispanic,1.20 (0.95–1.51),0.124
Non-Hispanic Black only vs Hispanic,1.14 (0.88–1.48),0.323
Non-Hispanic Asian only vs Hispanic,0.78 (0.45–1.35),0.367
Non-Hispanic AIAN only vs Hispanic,0.82 (0.42–1.61),0.570
Non-Hispanic AIAN with another race vs Hispanic,1.06 (0.69–1.63),0.800
Other single or multiple races vs Hispanic,1.26 (0.71–2.25),0.431
Midwest vs Northeast,1.21 (0.97–1.50),0.098
South vs Northeast,1.42 (1.15–1.75),<0.001
West vs Northeast,1.24 (0.96–1.61),0.095
Some college/associate vs bachelor's or higher,0.89 (0.75–1.06),0.202
High school/GED vs bachelor's or higher,0.75 (0.62–0.89),0.001
Less than high school vs bachelor's or higher,0.80 (0.64–0.99),0.038
Income 200–399% vs ≥400% FPL,2.07 (1.65–2.61),<0.001
Income 100–199% vs ≥400% FPL,2.50 (1.94–3.21),<0.001
Income <100% vs ≥400% FPL,2.00 (1.52–2.63),<0.001
Public without private vs private,0.72 (0.63–0.83),<0.001
Military only vs private,0.81 (0.52–1.28),0.372
Uninsured vs private,1.79 (1.49–2.16),<0.001
Hypertension vs none,0.99 (0.86–1.14),0.863
Diabetes vs none,1.12 (0.97–1.30),0.126
Coronary heart disease vs none,1.37 (1.18–1.58),<0.001
Former vs never smoking,0.98 (0.85–1.14),0.820
Current vs never smoking,1.21 (1.04–1.42),0.015
Fair/poor vs good or better health,1.58 (1.37–1.82),<0.001
Disability vs none,1.19 (1.05–1.35),0.006
