Subgroup,No. with observed outcome,"Prevalence, % (95% CI)"
Age 65 years or older,"4,763",10.9 (9.8–12.0)
Age 18–64 years,"2,341",28.0 (25.9–30.2)
Income ≥400% FPL,"1,681.2",8.2 (6.7–10.0)
Income 200–399% FPL,"2,133.3",18.0 (16.0–20.3)
Income 100–199% FPL,"1,986.9",23.5 (21.1–26.1)
Income <100% FPL,"1,302.6",22.5 (19.6–25.6)
"Private, with or without public coverage","2,888",16.6 (14.9–18.4)
Public without private,"3,871",15.8 (14.5–17.3)
Military only,109,18.2 (11.1–28.4)
Uninsured,207,58.7 (50.7–66.3)
Without disability,"4,384",16.5 (15.1–17.9)
With disability,"2,720",20.2 (18.4–22.1)
