path,relative_path,role
C:\Users\gbp34\Documents\ChatGPT\Stroke\.gitignore,.gitignore,"Project documentation, dependency specification, or launcher"
C:\Users\gbp34\Documents\ChatGPT\Stroke\.vendor\.lock,.vendor/.lock,Workspace-local PDF-reader dependency; installed for codebook extraction
C:\Users\gbp34\Documents\ChatGPT\Stroke\.vendor\bin\pymupdf.exe,.vendor/bin/pymupdf.exe,Workspace-local PDF-reader dependency; installed for codebook extraction
C:\Users\gbp34\Documents\ChatGPT\Stroke\.vendor\fitz\__init__.py,.vendor/fitz/__init__.py,Workspace-local PDF-reader dependency; installed for codebook extraction
C:\Users\gbp34\Documents\ChatGPT\Stroke\.vendor\fitz\table.py,.vendor/fitz/table.py,Workspace-local PDF-reader dependency; installed for codebook extraction
C:\Users\gbp34\Documents\ChatGPT\Stroke\.vendor\fitz\utils.py,.vendor/fitz/utils.py,Workspace-local PDF-reader dependency; installed for codebook extraction
C:\Users\gbp34\Documents\ChatGPT\Stroke\.vendor\pymupdf\__init__.py,.vendor/pymupdf/__init__.py,Workspace-local PDF-reader dependency; installed for codebook extraction
C:\Users\gbp34\Documents\ChatGPT\Stroke\.vendor\pymupdf\__main__.py,.vendor/pymupdf/__main__.py,Workspace-local PDF-reader dependency; installed for codebook extraction
C:\Users\gbp34\Documents\ChatGPT\Stroke\.vendor\pymupdf\__pycache__\__init__.cpython-312.pyc,.vendor/pymupdf/__pycache__/__init__.cpython-312.pyc,Workspace-local PDF-reader dependency; installed for codebook extraction
C:\Users\gbp34\Documents\ChatGPT\Stroke\.vendor\pymupdf\__pycache__\_build.cpython-312.pyc,.vendor/pymupdf/__pycache__/_build.cpython-312.pyc,Workspace-local PDF-reader dependency; installed for codebook extraction
C:\Users\gbp34\Documents\ChatGPT\Stroke\.vendor\pymupdf\__pycache__\_table_headers.cpython-312.pyc,.vendor/pymupdf/__pycache__/_table_headers.cpython-312.pyc,Workspace-local PDF-reader dependency; installed for codebook extraction
C:\Users\gbp34\Documents\ChatGPT\Stroke\.vendor\pymupdf\__pycache__\_table_refine.cpython-312.pyc,.vendor/pymupdf/__pycache__/_table_refine.cpython-312.pyc,Workspace-local PDF-reader dependency; installed for codebook extraction
C:\Users\gbp34\Documents\ChatGPT\Stroke\.vendor\pymupdf\__pycache__\_table_spans.cpython-312.pyc,.vendor/pymupdf/__pycache__/_table_spans.cpython-312.pyc,Workspace-local PDF-reader dependency; installed for codebook extraction
C:\Users\gbp34\Documents\ChatGPT\Stroke\.vendor\pymupdf\__pycache__\_wxcolors.cpython-312.pyc,.vendor/pymupdf/__pycache__/_wxcolors.cpython-312.pyc,Workspace-local PDF-reader dependency; installed for codebook extraction
C:\Users\gbp34\Documents\ChatGPT\Stroke\.vendor\pymupdf\__pycache__\extra.cpython-312.pyc,.vendor/pymupdf/__pycache__/extra.cpython-312.pyc,Workspace-local PDF-reader dependency; installed for codebook extraction
C:\Users\gbp34\Documents\ChatGPT\Stroke\.vendor\pymupdf\__pycache__\mupdf.cpython-312.pyc,.vendor/pymupdf/__pycache__/mupdf.cpython-312.pyc,Workspace-local PDF-reader dependency; installed for codebook extraction
