year,variable,pdf_page,question,universe,notes
2019,EDUC_A,20,,HHSTAT_A=1,Level of educational attainment for the sample adult
2019,PHSTAT_A,35,"Would you say your health in general is excellent, very good, good, fair, or poor?",HHSTAT_A=1,
2019,HYPEV_A,36,"Have you EVER been told by a doctor or other health professional that you had ...Hypertension, also called high blood pressure? * Enter '1' if respondent is taking medication to control his/her high blood pressure.",HHSTAT_A=1,
2019,CHDEV_A,43,Have you EVER been told by a doctor or other health professional that you had ...Coronary heart disease?,HHSTAT_A=1,
2019,DIBEV_A,119,"^NOTPREGDM a doctor or other health professional EVER told you that you had diabetes? Fills: ^NOTPREGDM Has/Not including (gestational diabetes, prediabetes)",HHSTAT_A=1,
2019,DISAB3_A,164,,HHSTAT_A=1,The final recode variable created for Washington Group Adult Composite Disability Indicator
2019,NOTCOV_A,168,,HHSTAT_A=1,"Adults are considered uninsured if they did not have private health insurance, Medicare, Medicaid, State Children's Health Insurance Program (CHIP), a state- sponsored health plan, other government programs, or military health plan (includes TRICARE, VA, and CHAMP-VA) at the time of interview. This definition of uninsured matches that used in Health United States."
2019,MEDICARE_A,174,,HHSTAT_A=1,
2019,MEDICAID_A,180,,HHSTAT_A=1,
2019,PRIVATE_A,186,,HHSTAT_A=1,
2019,CHIP_A,232,,HHSTAT_A=1,
2019,OTHPUB_A,238,,HHSTAT_A=1,
2019,OTHGOV_A,245,,HHSTAT_A=1,
2019,MILITARY_A,252,,HHSTAT_A=1,
2019,SMKCIGST_A,445,,HHSTAT_A=1,Some day smokers includes those who reported smoking zero days in the past 30 days.
2020,EDUC_A,20,,HHSTAT_A=1,Level of educational attainment for the sample adult
2020,PHSTAT_A,35,"Would you say your health in general is excellent, very good, good, fair, or poor?",HHSTAT_A=1,
2020,HYPEV_A,36,"Have you EVER been told by a doctor or other health professional that you had ...Hypertension, also called high blood pressure? * Enter '1' if respondent is taking medication to control his/her high blood pressure.",HHSTAT_A=1,
2020,CHDEV_A,43,Have you EVER been told by a doctor or other health professional that you had ...Coronary heart disease?,HHSTAT_A=1,
2020,DIBEV_A,120,"^NOTPREGDM a doctor or other health professional EVER told you that you had diabetes? Fills: ^NOTPREGDM Has/Not including (gestational diabetes, prediabetes), has",HHSTAT_A=1,
2020,DISAB3_A,172,,HHSTAT_A=1,The final recode variable created for Washington Group Adult Composite Disability Indicator
2020,NOTCOV_A,177,,HHSTAT_A=1,"Adults are considered uninsured if they did not have private health insurance, Medicare, Medicaid, State Children's Health Insurance Program (CHIP), a state- sponsored health plan, other government programs, or military health plan (includes TRICARE, VA, and CHAMP-VA) at the time of interview. This definition of uninsured matches that used in Health United States."
2020,MEDICARE_A,183,,HHSTAT_A=1,
2020,MEDICAID_A,189,,HHSTAT_A=1,
2020,PRIVATE_A,195,,HHSTAT_A=1,
2020,CHIP_A,241,,HHSTAT_A=1,
