term,log_PR,SE,prevalence_ratio,lower,upper
(Intercept),-1.70665347342802,0.252278468200034,0.181472078708507,0.110614703299852,0.297719149157909
factor(year)2020,-0.183580435786059,0.127901053580417,0.832284927553043,0.647548188770758,1.06972455895047
factor(year)2021,-0.0228715451292538,0.105363913885696,0.977388025962395,0.794828985393463,1.20187785152522
factor(year)2022,-0.221464700325775,0.113948603013517,0.80134420883819,0.640781160074775,1.00214017054367
factor(year)2023,-0.281075084034257,0.107463437156102,0.754971647035027,0.611431862763752,0.932208840491871
factor(year)2024,0.00875035823858398,0.0983253901950784,1.00878875453531,0.831773903940026,1.22347520937646
factor(year)2025,-0.181189297203281,0.11125810275883,0.834277417365468,0.67064705209632,1.03783175807657
"splines::ns(age, df = 3)1",-0.845880072158912,0.139109067309105,0.429179483042219,0.326653497990567,0.563885064135165
"splines::ns(age, df = 3)2",-0.790870672008753,0.478230087887089,0.453449817295876,0.177407349895017,1.15900912181677
"splines::ns(age, df = 3)3",-2.06536261236797,0.142623017152438,0.126772313023867,0.0958248425030544,0.167714539670744
sex2,0.221044621650962,0.0624910970207309,1.24737908943661,1.10342354672642,1.4101154514781
race2,0.000841609302697579,0.119626890613409,1.00084196355518,0.79143815415869,1.26565118291245
race3,0.000898948313034917,0.130695131806704,1.00089935248817,0.774478382258672,1.29351514097736
race4,-0.196600671381085,0.245806776312817,0.821518623717744,0.50714922768061,1.33075791557771
race5,-0.180482799503138,0.320681381086733,0.834867040701358,0.444965127940331,1.56642157302473
race6,0.0793377652035414,0.22779080497039,1.0825699147722,0.692353503371137,1.69271566427196
race7,-0.0142130286541745,0.336654424854317,0.985887499603683,0.509241115200359,1.90867181156883
region2,0.201676825823821,0.11190773286715,1.22345255594297,0.982238688574968,1.52390266648426
region3,0.405360864246504,0.102016891913477,1.49984364235731,1.22773622583312,1.83225916462077
region4,0.0560622938804704,0.128935412418488,1.05766356765237,0.821232458186925,1.36216269971701
