imputation,model,n,converged,min_fitted,max_fitted
1,spline,6777,TRUE,0.00498715161703005,0.904241045991975
1,age_group,6777,TRUE,0.0113390368957401,0.899961966672598
2,spline,6777,TRUE,0.0049427492410046,0.904395579108941
2,age_group,6777,TRUE,0.0109496063047365,0.900185693911267
3,spline,6777,TRUE,0.00538833785887215,0.902606325432693
3,age_group,6777,TRUE,0.012350795403334,0.89906687803937
4,spline,6777,TRUE,0.0050638400758078,0.903724298923541
4,age_group,6777,TRUE,0.0111589778715793,0.898407787986902
5,spline,6777,TRUE,0.00504802750171331,0.906117077109834
5,age_group,6777,TRUE,0.0113160071078368,0.899088678905389
6,spline,6777,TRUE,0.00506193044866991,0.903998653331862
6,age_group,6777,TRUE,0.0113295387824172,0.899930423032379
7,spline,6777,TRUE,0.00502462542008522,0.90267043766222
7,age_group,6777,TRUE,0.0114485221393276,0.898680949210018
8,spline,6777,TRUE,0.00506650555220813,0.903295390196447
8,age_group,6777,TRUE,0.0112667451762431,0.899294325072969
9,spline,6777,TRUE,0.00522337368945072,0.901919735099711
9,age_group,6777,TRUE,0.011917616563044,0.894197342675207
10,spline,6777,TRUE,0.0052165719452625,0.902347062992818
10,age_group,6777,TRUE,0.0116792941943934,0.897951262667084
