variable,level,reference,coef,variance,df,p_reference,p_level,imputation
income_group,200-399%,400%+,0.690393700999725,0.0124252840936563,986,0.0943950224420826,0.188270930367987,1
income_group,100-199%,400%+,0.914201794052915,0.0145503994123989,986,0.0943950224420826,0.235495107300456,1
income_group,<100%,400%+,0.646423936144264,0.0193492773757791,986,0.0943950224420826,0.180172059338681,1
insurance,Public without private,Private,-0.33566173352523,0.00491751933395902,986,0.202000361516946,0.144402964144168,1
insurance,Military only,Private,-0.190568552428436,0.0559076070063464,986,0.202000361516946,0.16695109657617,1
insurance,Uninsured,Private,0.677315434489261,0.0103937879432581,986,0.202000361516946,0.39765505025609,1
disability,With disability,Without disability,0.16384045444957,0.00400643915526039,986,0.166601409413283,0.196260850441921,1
young,18-64,65+,0.762587986572016,0.00472970347305849,988,0.119184752734729,0.25551032498371,1
income_group,200-399%,400%+,0.706330187412098,0.0127512514823206,986,0.0928742861045866,0.188213508849006,2
income_group,100-199%,400%+,0.923931216353939,0.014804181487539,986,0.0928742861045866,0.233966521061721,2
income_group,<100%,400%+,0.690768084407009,0.019317860158139,986,0.0928742861045866,0.185307183756594,2
insurance,Public without private,Private,-0.332512546890436,0.00499331244475694,986,0.201577624932972,0.144555280110306,2
insurance,Military only,Private,-0.196785724864537,0.0571738300944605,986,0.201577624932972,0.165569131027663,2
insurance,Uninsured,Private,0.682131866719534,0.0104864209722779,986,0.201577624932972,0.398738737554015,2
disability,With disability,Without disability,0.164009736867059,0.00398715130997423,986,0.166583090216276,0.196272492615063,2
young,18-64,65+,0.755713551765081,0.00479510272308995,988,0.119585127496778,0.254612309543649,2
income_group,200-399%,400%+,0.626603635132899,0.0112203443131368,986,0.100878603684947,0.188768516758095,3
income_group,100-199%,400%+,0.81622962680616,0.0130248692780433,986,0.100878603684947,0.228182894676099,3
income_group,<100%,400%+,0.596318074272624,0.0173056584287243,986,0.100878603684947,0.183137259661378,3
insurance,Public without private,Private,-0.325560966692413,0.00494720007159602,986,0.200506519585347,0.14479019971874,3
insurance,Military only,Private,-0.172524235591711,0.0550635941417676,986,0.200506519585347,0.168733834103983,3
