model,term,log_PR,se,PR,lower,upper,p,df,missing_information
M1,(Intercept),-1.71161203916432,0.259839531455685,0.180574464754989,0.108445742218875,0.300676971307366,7.23314516356951e-11,1000.00597014925,0.00199400607725434
M1,yearf2020,-0.159307145239324,0.131697093005964,0.852734405429264,0.658532439820934,1.10420675160745,0.226699815141652,1000.00597014925,0.00199400607725434
M1,yearf2021,-0.0608607617599407,0.112592219204721,0.940954247468552,0.754420878730596,1.17360868553756,0.58894405045019,1000.00597014925,0.00199400607725434
M1,yearf2022,-0.203299187399193,0.118858522837753,0.816034057791694,0.646268704680463,1.0303942905687,0.087496547187016,1000.00597014925,0.00199400607725434
M1,yearf2023,-0.239104200704579,0.112608142969675,0.787332837461792,0.631233423288362,0.98203449639335,0.0339713004988071,1000.00597014925,0.00199400607725434
M1,yearf2024,0.0309804656224902,0.102432498491338,1.0314653546561,0.843642183178761,1.26110429168807,0.762373751558639,1000.00597014925,0.00199400607725434
M1,yearf2025,-0.158247737765044,0.117022746319937,0.853638277331738,0.678489656450991,1.07400061533368,0.176590885038422,1000.00597014925,0.00199400607725434
M1,"splines::ns(age, df = 3)1",-0.869980183631212,0.142704547184783,0.418959851428303,0.316632054199457,0.554357509863025,1.54749103935431e-09,1000.00597014925,0.00199400607725434
M1,"splines::ns(age, df = 3)2",-0.949044380891069,0.484621685776131,0.387110777210461,0.149563167930853,1.00194958361519,0.0504701553161913,1000.00597014925,0.00199400607725434
M1,"splines::ns(age, df = 3)3",-2.1271371187507,0.151430344370718,0.119177998378293,0.0885405358718702,0.160416866213804,4.85887919722354e-41,1000.00597014925,0.00199400607725434
M1,sex2,0.259928141422394,0.0648424559905947,1.29683689446286,1.14189053954654,1.47280835824065,6.56154748041139e-05,1000.00597014925,0.00199400607725434
M1,race2,-0.00514323655742718,0.123479850787473,0.99486996723727,0.780787251345296,1.26765165543536,0.966784086325062,1000.00597014925,0.00199400607725434
M1,race3,-0.0300774392929955,0.135430045186096,0.97037038584223,0.74390859509087,1.26577202082815,0.824290430394939,1000.00597014925,0.00199400607725434
M1,race4,-0.386235778503456,0.29112972768178,0.67961026929633,0.383839410153527,1.2032899851224,0.184917666824495,1000.00597014925,0.00199400607725434
M1,race5,-0.181478922677529,0.321852553773485,0.834035824360242,0.443497655927149,1.56847673718152,0.572977653605046,1000.00597014925,0.00199400607725434
M1,race6,0.0746694318962303,0.232212416126973,1.07752789565134,0.68317101413428,1.69952521679821,0.747855835081838,1000.00597014925,0.00199400607725434
M1,race7,-0.0211477580877803,0.338908767858503,0.979074287736586,0.503484841627379,1.90390331873454,0.950257114562502,1000.00597014925,0.00199400607725434
M1,region2,0.246629965012772,0.120172761262996,1.27970548935065,1.01086890283257,1.62003810275032,0.0404008744228178,1000.00597014925,0.00199400607725434
M1,region3,0.439691160442619,0.110323607388825,1.55222775514367,1.25006910738248,1.92742224378572,7.22399785061018e-05,1000.00597014925,0.00199400607725434
M1,region4,0.105522909841903,0.135993311549196,1.11129156374525,0.851000912440395,1.4511957879221,0.437966754571716,1000.00597014925,0.00199400607725434
M2,(Intercept),-2.41777917325547,0.270776034602829,0.0891193164119121,0.0523844905428486,0.151614580487903,2.07109456161442e-18,982.985303317171,0.00742360237682997
