imputation,model,n,events,rank,converged,max_fitted,above_one
1,M1,6777,1117,20,TRUE,0.51726867702489,0
1,M2,6777,1117,29,TRUE,1.18957082878706,4
1,M3,6777,1117,36,TRUE,1.90220069966683,14
1,Age_M1,6777,1117,18,TRUE,0.465535088292131,0
1,Age_M2,6777,1117,27,TRUE,1.10586536691009,4
1,Age_M3,6777,1117,34,TRUE,1.88529221053283,17
1,AgeInteraction,6777,1117,40,TRUE,1.86861935585801,19
1,No2020,6124,1016,35,TRUE,1.89667851483395,12
1,WorkingAge,2231,620,36,TRUE,1.9958563425175,15
1,NoDisability,4209,607,35,TRUE,1.7736226468073,6
1,Universal,6776,955,36,TRUE,1.85651866695409,14
1,Delayed,6774,523,36,TRUE,1.35658918048925,5
1,ForgoneCare,6776,509,36,TRUE,1.38849445427359,7
1,ForgoneRx,6775,610,36,TRUE,1.3892585532723,6
1,RxUnderuse,6449,598,36,TRUE,1.3114378179444,6
1,MissingCategory,7104,1184,43,TRUE,1.83625882203368,18
2,M1,6777,1117,20,TRUE,0.51726867702489,0
2,M2,6777,1117,29,TRUE,1.18872873168279,3
2,M3,6777,1117,36,TRUE,1.90889286177681,16
2,Age_M1,6777,1117,18,TRUE,0.465535088292131,0
2,Age_M2,6777,1117,27,TRUE,1.10001371940429,3
2,Age_M3,6777,1117,34,TRUE,1.89336566629397,17
2,AgeInteraction,6777,1117,40,TRUE,1.88159279766867,19
2,No2020,6124,1016,35,TRUE,1.90047528967759,13
2,WorkingAge,2231,620,36,TRUE,2.04397831092381,15
2,NoDisability,4209,607,35,TRUE,1.77576302432701,5
2,Universal,6776,955,36,TRUE,1.85944730752357,15
2,Delayed,6774,523,36,TRUE,1.36518529610024,4
2,ForgoneCare,6776,509,36,TRUE,1.25001353257003,6
2,ForgoneRx,6775,610,36,TRUE,1.39312852134468,6
2,RxUnderuse,6449,598,36,TRUE,1.30898352891595,6
2,MissingCategory,7104,1184,43,TRUE,1.83217242745148,19
3,M1,6777,1117,20,TRUE,0.51726867702489,0
3,M2,6777,1117,29,TRUE,1.16989184778302,3
3,M3,6777,1117,36,TRUE,1.89810033667689,16
3,Age_M1,6777,1117,18,TRUE,0.465535088292131,0
3,Age_M2,6777,1117,27,TRUE,1.08686091502292,3
3,Age_M3,6777,1117,34,TRUE,1.88679969791673,17
3,AgeInteraction,6777,1117,40,TRUE,1.87147272703323,19
3,No2020,6124,1016,35,TRUE,1.89464517565049,14
3,WorkingAge,2231,620,36,TRUE,2.04290445772515,15
3,NoDisability,4209,607,35,TRUE,1.74329569461271,5
3,Universal,6776,955,36,TRUE,1.91003231936157,17
3,Delayed,6774,523,36,TRUE,1.32195059574599,5
3,ForgoneCare,6776,509,36,TRUE,1.41073676263175,6
3,ForgoneRx,6775,610,36,TRUE,1.45165075144876,6
3,RxUnderuse,6449,598,36,TRUE,1.26165303334698,6
3,MissingCategory,7104,1184,43,TRUE,1.8557886895983,19
4,M1,6777,1117,20,TRUE,0.51726867702489,0
4,M2,6777,1117,29,TRUE,1.16362151515228,4
4,M3,6777,1117,36,TRUE,1.91552479050523,14
4,Age_M1,6777,1117,18,TRUE,0.465535088292131,0
4,Age_M2,6777,1117,27,TRUE,1.08360627744677,4
4,Age_M3,6777,1117,34,TRUE,1.86819117535004,16
4,AgeInteraction,6777,1117,40,TRUE,1.85575640997618,19
4,No2020,6124,1016,35,TRUE,1.86817120305857,13
4,WorkingAge,2231,620,36,TRUE,2.06933023745843,15
4,NoDisability,4209,607,35,TRUE,1.71628953643359,5
4,Universal,6776,955,36,TRUE,1.91018462953733,15
4,Delayed,6774,523,36,TRUE,1.50406795553826,4
4,ForgoneCare,6776,509,36,TRUE,1.65107044646949,6
4,ForgoneRx,6775,610,36,TRUE,1.40921611568202,6
4,RxUnderuse,6449,598,36,TRUE,1.67137909787476,6
4,MissingCategory,7104,1184,43,TRUE,1.86531096606526,17
5,M1,6777,1117,20,TRUE,0.51726867702489,0
5,M2,6777,1117,29,TRUE,1.18123519446815,4
5,M3,6777,1117,36,TRUE,1.94327056986667,15
5,Age_M1,6777,1117,18,TRUE,0.465535088292131,0
5,Age_M2,6777,1117,27,TRUE,1.09525966855707,4
5,Age_M3,6777,1117,34,TRUE,1.8777968002769,16
5,AgeInteraction,6777,1117,40,TRUE,1.86318300709031,19
5,No2020,6124,1016,35,TRUE,1.93496780502019,13
5,WorkingAge,2231,620,36,TRUE,2.04564785470229,15
5,NoDisability,4209,607,35,TRUE,1.78606265097279,6
5,Universal,6776,955,36,TRUE,1.89148399803997,15
5,Delayed,6774,523,36,TRUE,1.51776030391666,4
5,ForgoneCare,6776,509,36,TRUE,1.63847341937611,6
5,ForgoneRx,6775,610,36,TRUE,1.43952142550098,6
5,RxUnderuse,6449,598,36,TRUE,1.70883285150641,6
5,MissingCategory,7104,1184,43,TRUE,1.87942754745537,16
6,M1,6777,1117,20,TRUE,0.51726867702489,0
6,M2,6777,1117,29,TRUE,1.19043125931314,4
6,M3,6777,1117,36,TRUE,1.93614604660691,15
6,Age_M1,6777,1117,18,TRUE,0.465535088292131,0
6,Age_M2,6777,1117,27,TRUE,1.10264719072685,3
6,Age_M3,6777,1117,34,TRUE,1.91204731312586,15
6,AgeInteraction,6777,1117,40,TRUE,1.88825973899847,17
6,No2020,6124,1016,35,TRUE,1.94265161385106,15
6,WorkingAge,2231,620,36,TRUE,2.0472187893172,14
6,NoDisability,4209,607,35,TRUE,1.75488216796376,6
6,Universal,6776,955,36,TRUE,1.92683555228969,13
6,Delayed,6774,523,36,TRUE,1.37109133034999,3
6,ForgoneCare,6776,509,36,TRUE,1.28835237915556,4
6,ForgoneRx,6775,610,36,TRUE,1.45116172602171,4
6,RxUnderuse,6449,598,36,TRUE,1.31789475939982,5
6,MissingCategory,7104,1184,43,TRUE,1.89083864521916,18
7,M1,6777,1117,20,TRUE,0.51726867702489,0
7,M2,6777,1117,29,TRUE,1.17466405416779,3
7,M3,6777,1117,36,TRUE,1.89708191051471,15
7,Age_M1,6777,1117,18,TRUE,0.465535088292131,0
7,Age_M2,6777,1117,27,TRUE,1.08838318060621,3
7,Age_M3,6777,1117,34,TRUE,1.88254860969786,16
7,AgeInteraction,6777,1117,40,TRUE,1.86785536510099,19
7,No2020,6124,1016,35,TRUE,1.91039241274766,13
7,WorkingAge,2231,620,36,TRUE,2.08618536997396,15
7,NoDisability,4209,607,35,TRUE,1.74513828061002,5
7,Universal,6776,955,36,TRUE,1.88730923886038,15
7,Delayed,6774,523,36,TRUE,1.34828888047812,4
7,ForgoneCare,6776,509,36,TRUE,1.2948958811669,7
7,ForgoneRx,6775,610,36,TRUE,1.43707082799035,5
7,RxUnderuse,6449,598,36,TRUE,1.34292801155877,6
7,MissingCategory,7104,1184,43,TRUE,1.8322661446678,17
8,M1,6777,1117,20,TRUE,0.51726867702489,0
8,M2,6777,1117,29,TRUE,1.18309766650415,3
8,M3,6777,1117,36,TRUE,1.91161134762735,15
8,Age_M1,6777,1117,18,TRUE,0.465535088292131,0
8,Age_M2,6777,1117,27,TRUE,1.09845942880071,4
8,Age_M3,6777,1117,34,TRUE,1.89265008719451,15
8,AgeInteraction,6777,1117,40,TRUE,1.8801122929189,18
8,No2020,6124,1016,35,TRUE,1.912802337534,13
8,WorkingAge,2231,620,36,TRUE,2.06317483577954,15
8,NoDisability,4209,607,35,TRUE,1.80202154908769,6
8,Universal,6776,955,36,TRUE,1.91528433629196,14
8,Delayed,6774,523,36,TRUE,1.40647256628733,4
8,ForgoneCare,6776,509,36,TRUE,1.25019279089264,8
8,ForgoneRx,6775,610,36,TRUE,1.43398311590672,5
8,RxUnderuse,6449,598,36,TRUE,1.30271067669361,6
8,MissingCategory,7104,1184,43,TRUE,1.84850201599994,19
9,M1,6777,1117,20,TRUE,0.51726867702489,0
9,M2,6777,1117,29,TRUE,1.14481332260143,4
9,M3,6777,1117,36,TRUE,1.91413824355761,16
9,Age_M1,6777,1117,18,TRUE,0.465535088292131,0
9,Age_M2,6777,1117,27,TRUE,1.05692247190996,4
9,Age_M3,6777,1117,34,TRUE,1.83232147026911,17
9,AgeInteraction,6777,1117,40,TRUE,1.81449052615017,18
9,No2020,6124,1016,35,TRUE,1.89326232109872,16
9,WorkingAge,2231,620,36,TRUE,2.05903634010224,14
9,NoDisability,4209,607,35,TRUE,1.75854617300695,6
9,Universal,6776,955,36,TRUE,1.92877267149732,16
9,Delayed,6774,523,36,TRUE,1.49562390330301,4
9,ForgoneCare,6776,509,36,TRUE,1.64725968112447,5
9,ForgoneRx,6775,610,36,TRUE,1.42885956113792,5
9,RxUnderuse,6449,598,36,TRUE,1.65817493836448,6
9,MissingCategory,7104,1184,43,TRUE,1.85379977123585,17
10,M1,6777,1117,20,TRUE,0.51726867702489,0
10,M2,6777,1117,29,TRUE,1.1760566691211,3
10,M3,6777,1117,36,TRUE,1.91151402821864,15
10,Age_M1,6777,1117,18,TRUE,0.465535088292131,0
10,Age_M2,6777,1117,27,TRUE,1.08671106446931,4
10,Age_M3,6777,1117,34,TRUE,1.88636088660868,16
10,AgeInteraction,6777,1117,40,TRUE,1.87070336607311,18
10,No2020,6124,1016,35,TRUE,1.91682287538455,14
10,WorkingAge,2231,620,36,TRUE,2.12691121370256,14
10,NoDisability,4209,607,35,TRUE,1.74094060753363,5
10,Universal,6776,955,36,TRUE,1.97244837445702,14
10,Delayed,6774,523,36,TRUE,1.37861613428522,4
10,ForgoneCare,6776,509,36,TRUE,1.43136012219442,5
10,ForgoneRx,6775,610,36,TRUE,1.48770799071253,5
10,RxUnderuse,6449,598,36,TRUE,1.2938044232515,5
10,MissingCategory,7104,1184,43,TRUE,1.85809970960662,18
