variable,level,n_mean,n_min,n_max,events_mean,estimate,lower,upper,reliability
young,65+,4763,4763,4763,526,0.108929676808109,0.098417252681376,0.120415012163585,adequate
young,18-64,2341,2341,2341,658,0.280132542910499,0.258934808980652,0.302357600217546,adequate
income_group,400%+,1681.2,1672,1694,121.3,0.0817417721010173,0.0666489747035027,0.099886594403635,adequate
income_group,200-399%,2133.3,2115,2163,346.4,0.180236553986556,0.159841377225352,0.202606517157331,adequate
income_group,100-199%,1986.9,1970,2014,437.3,0.23479306907364,0.210745448588709,0.260678397474982,adequate
income_group,<100%,1302.6,1290,1321,279,0.22456456734542,0.196355708288018,0.255537368458806,adequate
insurance,Private,2888,2888,2888,423,0.165526256830476,0.148658269548575,0.18389479344908,adequate
insurance,Public without private,3871,3871,3871,608,0.158425934394889,0.144886168591688,0.172975055766056,adequate
insurance,Military only,109,109,109,17,0.182151474250478,0.111018106429172,0.284287297940611,adequate
insurance,Uninsured,207,207,207,127,0.587243934613047,0.506938263126765,0.66316088285208,adequate
insurance,Unknown,29,29,29,9,0.211072750851857,0.0288411222514035,0.706769451125008,limited
disability,Without disability,4384,4384,4384,642,0.164802429184251,0.151120538774416,0.179461152502313,adequate
disability,With disability,2720,2720,2720,542,0.201819478332174,0.1836027295713,0.221353603548411,adequate
