year,variable,denominator,blank,special_codes
2019,STREV_A,1201,0,0
2019,MEDDL12M_A,1201,0,6
2019,MEDNG12M_A,1201,0,7
2019,RX12M_A,1201,0,7
2019,RXSK12M_A,1201,68,1
2019,RXLS12M_A,1201,68,1
2019,RXDL12M_A,1201,68,1
2019,RXDG12M_A,1201,0,9
2019,any_barrier,1201,10,0
2019,universal_barrier,1201,9,0
2019,rx_underuse,1201,69,0
2019,sex,1201,0,0
2019,race,1201,0,0
2019,region,1201,0,0
2019,disability,1201,0,0
2020,STREV_A,1059,0,0
2020,MEDDL12M_A,1059,0,8
2020,MEDNG12M_A,1059,0,8
2020,RX12M_A,1059,0,6
2020,RXSK12M_A,1059,75,2
2020,RXLS12M_A,1059,75,1
2020,RXDL12M_A,1059,75,1
2020,RXDG12M_A,1059,0,7
2020,any_barrier,1059,8,0
2020,universal_barrier,1059,7,0
2020,rx_underuse,1059,77,0
2020,sex,1059,0,0
2020,race,1059,0,0
2020,region,1059,0,0
2020,disability,1059,0,0
2021,STREV_A,1010,0,0
2021,MEDDL12M_A,1010,0,7
2021,MEDNG12M_A,1010,0,8
2021,RX12M_A,1010,0,9
2021,RXSK12M_A,1010,60,0
2021,RXLS12M_A,1010,60,1
2021,RXDL12M_A,1010,60,2
2021,RXDG12M_A,1010,0,10
2021,any_barrier,1010,9,0
2021,universal_barrier,1010,9,0
2021,rx_underuse,1010,60,0
2021,sex,1010,0,0
2021,race,1010,0,0
2021,region,1010,0,0
2021,disability,1010,0,0
2022,STREV_A,1008,0,0
2022,MEDDL12M_A,1008,0,6
2022,MEDNG12M_A,1008,0,6
2022,RX12M_A,1008,0,8
2022,RXSK12M_A,1008,54,0
2022,RXLS12M_A,1008,54,1
2022,RXDL12M_A,1008,54,1
2022,RXDG12M_A,1008,0,10
2022,any_barrier,1008,9,0
2022,universal_barrier,1008,9,0
2022,rx_underuse,1008,55,0
2022,sex,1008,0,0
2022,race,1008,0,0
2022,region,1008,0,0
2022,disability,1008,0,0
2023,STREV_A,1131,0,0
2023,MEDDL12M_A,1131,0,13
2023,MEDNG12M_A,1131,0,12
2023,RX12M_A,1131,0,14
2023,RXSK12M_A,1131,64,2
2023,RXLS12M_A,1131,64,2
2023,RXDL12M_A,1131,64,1
2023,RXDG12M_A,1131,0,14
2023,any_barrier,1131,15,0
2023,universal_barrier,1131,14,0
2023,rx_underuse,1131,66,0
2023,sex,1131,0,0
2023,race,1131,0,0
2023,region,1131,0,0
2023,disability,1131,0,0
2024,STREV_A,1244,0,0
2024,MEDDL12M_A,1244,0,14
2024,MEDNG12M_A,1244,0,14
2024,RX12M_A,1244,0,14
2024,RXSK12M_A,1244,71,0
2024,RXLS12M_A,1244,71,0
2024,RXDL12M_A,1244,71,0
2024,RXDG12M_A,1244,0,16
2024,any_barrier,1244,15,0
2024,universal_barrier,1244,16,0
2024,rx_underuse,1244,71,0
2024,sex,1244,0,0
2024,race,1244,0,0
2024,region,1244,0,0
2024,disability,1244,0,0
2025,STREV_A,902,0,0
2025,MEDDL12M_A,902,0,13
2025,MEDNG12M_A,902,0,13
2025,RX12M_A,902,0,13
2025,RXSK12M_A,902,56,0
2025,RXLS12M_A,902,56,0
2025,RXDL12M_A,902,56,1
2025,RXDG12M_A,902,0,14
2025,any_barrier,902,13,0
2025,universal_barrier,902,13,0
2025,rx_underuse,902,57,0
2025,sex,902,0,0
2025,race,902,0,0
2025,region,902,0,0
2025,disability,902,0,0
