year,group,basis,outcome,n,events,estimate,se,lower,upper,design_df,effective_n,precision_flag
0,All survivors,pooled_2020_partial,any_barrier,7104,1184,0.179151164185506,0.00598000484572344,0.167715636400372,0.191187299710929,1031,4112.25227434295,passes_initial_screen
0,All survivors,pooled_2020_partial,universal_barrier,7106,1012,0.154528880069117,0.00570581315441124,0.143660953614568,0.166059532318113,1031,4013.03865096948,passes_initial_screen
0,All survivors,pooled_2020_partial,delayed_care,7116,554,0.0850535792966381,0.00431215265440557,0.076964900044828,0.0939058596286736,1031,4185.04375936974,passes_initial_screen
0,All survivors,pooled_2020_partial,forgone_care,7115,541,0.0843756795770686,0.00437244719616038,0.0761823760472783,0.0933611090326922,1031,4040.96842115395,passes_initial_screen
0,All survivors,pooled_2020_partial,forgone_rx,7103,647,0.100204934113133,0.00495633842914549,0.0908900034314473,0.110358625967165,1031,3670.37812300919,passes_initial_screen
0,All survivors,pooled_2020_partial,rx_underuse,6754,635,0.100979135698325,0.004769457026588,0.091997512663616,0.110730691714696,1022,3990.83286329692,passes_initial_screen
0,18-64,pooled_2020_partial,any_barrier,2341,658,0.280132542913905,0.0110637478988545,0.258934900617058,0.302357499490954,739,1647.44741798694,passes_initial_screen
0,65+,pooled_2020_partial,any_barrier,4763,526,0.10892967683314,0.00559949143262768,0.0984172806473403,0.120414978836293,933,3095.71538876611,passes_initial_screen
0,With disability,pooled_2020_partial,any_barrier,2720,542,0.201819478334377,0.00961463888594798,0.183602800922466,0.221353521509063,772,1742.60216775836,passes_initial_screen
0,Without disability,pooled_2020_partial,any_barrier,4384,642,0.164802429184366,0.00721807309790795,0.151120577039131,0.179461108578904,914,2641.86292185809,passes_initial_screen
