year,variable,pdf_page,question,description,universe,universe_description,question_id,notes,source
2019,WTFA_A,5,,Weight - Final Annual,HHSTAT_A=1,Sample adults 18+,,,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Dataset_Documentation/NHIS/2019/adult-codebook.pdf
2019,REGION,7,,Household region,HHX ne ' ',All households,,,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Dataset_Documentation/NHIS/2019/adult-codebook.pdf
2019,PSTRAT,8,,Pseudo-stratum for public-use file variance estimation,All,All cases,,,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Dataset_Documentation/NHIS/2019/adult-codebook.pdf
2019,PPSU,9,,Pseudo-PSU for public-use file variance estimation,All,All cases,,,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Dataset_Documentation/NHIS/2019/adult-codebook.pdf
2019,AGEP_A,17,,Age of SA (top coded),HHSTAT_A=1,Sample adults 18+,,Top-coded for public use,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Dataset_Documentation/NHIS/2019/adult-codebook.pdf
2019,SEX_A,19,,Sex of Sample Adult,HHSTAT_A=1,Sample adults 18+,,,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Dataset_Documentation/NHIS/2019/adult-codebook.pdf
2019,HISPALLP_A,23,,Single and multiple race groups with Hispanic origin,HHSTAT_A=1,Sample adults 18+,,,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Dataset_Documentation/NHIS/2019/adult-codebook.pdf
2019,STREV_A,46,* Read if necessary: Have you EVER been told by a doctor or other health professional that you had ...A stroke?,Ever been told you had a stroke,HHSTAT_A=1,Sample adults 18+,CVC.0040.00.1,,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Dataset_Documentation/NHIS/2019/adult-codebook.pdf
2019,DISAB3_A,164,,The Washington Group Short Set Composite Disability Indicator,HHSTAT_A=1,Sample adults 18+,,The final recode variable created for Washington Group Adult Composite Disability Indicator,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Dataset_Documentation/NHIS/2019/adult-codebook.pdf
2019,COVER_A,169,,Health insurance hierarchy under 65,HHSTAT_A=1 and (AGEP_A <=64 or AGE65=1),Sample adults 18-64,,This is a hierarchical variable. Adults under age 65 are assigned the first type of insurance in the list that they have.,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Dataset_Documentation/NHIS/2019/adult-codebook.pdf
