raw_code,N,year,variable
2,30743,2019,STREV_A
1,1204,2019,STREV_A
7,30,2019,STREV_A
9,20,2019,STREV_A
2,29181,2019,MEDDL12M_A
1,2646,2019,MEDDL12M_A
8,138,2019,MEDDL12M_A
7,26,2019,MEDDL12M_A
9,6,2019,MEDDL12M_A
2,29426,2019,MEDNG12M_A
1,2398,2019,MEDNG12M_A
8,141,2019,MEDNG12M_A
7,25,2019,MEDNG12M_A
9,7,2019,MEDNG12M_A
1,22445,2019,RX12M_A
2,9339,2019,RX12M_A
8,152,2019,RX12M_A
9,17,2019,RX12M_A
7,44,2019,RX12M_A
2,21199,2019,RXSK12M_A
,9552,2019,RXSK12M_A
1,1240,2019,RXSK12M_A
9,5,2019,RXSK12M_A
8,1,2019,RXSK12M_A
2,21102,2019,RXLS12M_A
,9552,2019,RXLS12M_A
1,1337,2019,RXLS12M_A
9,5,2019,RXLS12M_A
8,1,2019,RXLS12M_A
2,20774,2019,RXDL12M_A
,9552,2019,RXDL12M_A
1,1666,2019,RXDL12M_A
9,3,2019,RXDL12M_A
7,1,2019,RXDL12M_A
8,1,2019,RXDL12M_A
2,29676,2019,RXDG12M_A
1,2128,2019,RXDG12M_A
8,156,2019,RXDG12M_A
7,27,2019,RXDG12M_A
9,10,2019,RXDG12M_A
2,30478,2020,STREV_A
1,1060,2020,STREV_A
9,16,2020,STREV_A
7,14,2020,STREV_A
2,29345,2020,MEDDL12M_A
1,2047,2020,MEDDL12M_A
8,164,2020,MEDDL12M_A
7,4,2020,MEDDL12M_A
9,8,2020,MEDDL12M_A
2,29580,2020,MEDNG12M_A
1,1804,2020,MEDNG12M_A
8,166,2020,MEDNG12M_A
7,5,2020,MEDNG12M_A
9,13,2020,MEDNG12M_A
2,8972,2020,RX12M_A
1,22385,2020,RX12M_A
8,180,2020,RX12M_A
7,19,2020,RX12M_A
9,12,2020,RX12M_A
,9183,2020,RXSK12M_A
2,21458,2020,RXSK12M_A
1,917,2020,RXSK12M_A
9,3,2020,RXSK12M_A
8,6,2020,RXSK12M_A
7,1,2020,RXSK12M_A
,9183,2020,RXLS12M_A
2,21328,2020,RXLS12M_A
1,1046,2020,RXLS12M_A
8,8,2020,RXLS12M_A
9,2,2020,RXLS12M_A
7,1,2020,RXLS12M_A
,9183,2020,RXDL12M_A
2,21073,2020,RXDL12M_A
1,1302,2020,RXDL12M_A
8,8,2020,RXDL12M_A
7,1,2020,RXDL12M_A
9,1,2020,RXDL12M_A
2,29736,2020,RXDG12M_A
1,1624,2020,RXDG12M_A
